,Model_id,Model_name,To_state_id,To_state_name,Sex_state_id,Race_state_id,Age,Probability
0,6.0,Physical activity,39.0,Active,34.0,31.0,18.0,0.46
1,6.0,Physical activity,39.0,Active,34.0,31.0,19.0,0.46
2,6.0,Physical activity,39.0,Active,34.0,31.0,20.0,0.46
3,6.0,Physical activity,39.0,Active,34.0,31.0,21.0,0.46
4,6.0,Physical activity,39.0,Active,34.0,31.0,22.0,0.46
5,6.0,Physical activity,39.0,Active,34.0,31.0,23.0,0.46
6,6.0,Physical activity,39.0,Active,34.0,31.0,25.0,0.40299999999999997
7,6.0,Physical activity,39.0,Active,34.0,31.0,26.0,0.40299999999999997
8,6.0,Physical activity,39.0,Active,34.0,31.0,27.0,0.40299999999999997
9,6.0,Physical activity,39.0,Active,34.0,31.0,28.0,0.40299999999999997
10,6.0,Physical activity,39.0,Active,34.0,31.0,29.0,0.40299999999999997
11,6.0,Physical activity,39.0,Active,34.0,31.0,30.0,0.40299999999999997
12,6.0,Physical activity,39.0,Active,34.0,31.0,31.0,0.40299999999999997
13,6.0,Physical activity,39.0,Active,34.0,31.0,32.0,0.40299999999999997
14,6.0,Physical activity,39.0,Active,34.0,31.0,33.0,0.40299999999999997
15,6.0,Physical activity,39.0,Active,34.0,31.0,34.0,0.40299999999999997
16,6.0,Physical activity,39.0,Active,34.0,31.0,35.0,0.40299999999999997
17,6.0,Physical activity,39.0,Active,34.0,31.0,36.0,0.40299999999999997
18,6.0,Physical activity,39.0,Active,34.0,31.0,37.0,0.40299999999999997
19,6.0,Physical activity,39.0,Active,34.0,31.0,38.0,0.40299999999999997
20,6.0,Physical activity,39.0,Active,34.0,31.0,39.0,0.40299999999999997
21,6.0,Physical activity,39.0,Active,34.0,31.0,40.0,0.40299999999999997
22,6.0,Physical activity,39.0,Active,34.0,31.0,41.0,0.40299999999999997
23,6.0,Physical activity,39.0,Active,34.0,31.0,42.0,0.40299999999999997
24,6.0,Physical activity,39.0,Active,34.0,31.0,43.0,0.40299999999999997
25,6.0,Physical activity,39.0,Active,34.0,31.0,45.0,0.332
26,6.0,Physical activity,39.0,Active,34.0,31.0,46.0,0.332
27,6.0,Physical activity,39.0,Active,34.0,31.0,47.0,0.332
28,6.0,Physical activity,39.0,Active,34.0,31.0,48.0,0.332
29,6.0,Physical activity,39.0,Active,34.0,31.0,49.0,0.332
30,6.0,Physical activity,39.0,Active,34.0,31.0,50.0,0.332
31,6.0,Physical activity,39.0,Active,34.0,31.0,51.0,0.332
32,6.0,Physical activity,39.0,Active,34.0,31.0,52.0,0.332
33,6.0,Physical activity,39.0,Active,34.0,31.0,53.0,0.332
34,6.0,Physical activity,39.0,Active,34.0,31.0,55.0,0.308
35,6.0,Physical activity,39.0,Active,34.0,31.0,56.0,0.308
36,6.0,Physical activity,39.0,Active,34.0,31.0,57.0,0.308
37,6.0,Physical activity,39.0,Active,34.0,31.0,58.0,0.308
38,6.0,Physical activity,39.0,Active,34.0,31.0,59.0,0.308
39,6.0,Physical activity,39.0,Active,34.0,31.0,60.0,0.308
40,6.0,Physical activity,39.0,Active,34.0,31.0,61.0,0.308
41,6.0,Physical activity,39.0,Active,34.0,31.0,62.0,0.308
42,6.0,Physical activity,39.0,Active,34.0,31.0,63.0,0.308
43,6.0,Physical activity,39.0,Active,34.0,31.0,65.0,0.27399999999999997
44,6.0,Physical activity,39.0,Active,34.0,31.0,66.0,0.27399999999999997
45,6.0,Physical activity,39.0,Active,34.0,31.0,67.0,0.27399999999999997
46,6.0,Physical activity,39.0,Active,34.0,31.0,68.0,0.27399999999999997
47,6.0,Physical activity,39.0,Active,34.0,31.0,69.0,0.27399999999999997
48,6.0,Physical activity,39.0,Active,34.0,31.0,70.0,0.27399999999999997
49,6.0,Physical activity,39.0,Active,34.0,31.0,71.0,0.27399999999999997
50,6.0,Physical activity,39.0,Active,34.0,31.0,72.0,0.27399999999999997
51,6.0,Physical activity,39.0,Active,34.0,31.0,73.0,0.27399999999999997
52,6.0,Physical activity,39.0,Active,34.0,31.0,75.0,0.19899999999999998
53,6.0,Physical activity,39.0,Active,34.0,31.0,76.0,0.19899999999999998
54,6.0,Physical activity,39.0,Active,34.0,31.0,77.0,0.19899999999999998
55,6.0,Physical activity,39.0,Active,34.0,31.0,78.0,0.19899999999999998
56,6.0,Physical activity,39.0,Active,34.0,31.0,79.0,0.19899999999999998
57,6.0,Physical activity,39.0,Active,34.0,31.0,80.0,0.19899999999999998
58,6.0,Physical activity,39.0,Active,34.0,31.0,81.0,0.19899999999999998
59,6.0,Physical activity,39.0,Active,34.0,31.0,82.0,0.19899999999999998
60,6.0,Physical activity,39.0,Active,34.0,31.0,83.0,0.19899999999999998
61,6.0,Physical activity,39.0,Active,34.0,31.0,85.0,0.19899999999999998
62,6.0,Physical activity,39.0,Active,34.0,31.0,86.0,0.19899999999999998
63,6.0,Physical activity,39.0,Active,34.0,31.0,87.0,0.19899999999999998
64,6.0,Physical activity,39.0,Active,34.0,31.0,88.0,0.19899999999999998
65,6.0,Physical activity,39.0,Active,34.0,31.0,89.0,0.19899999999999998
66,6.0,Physical activity,39.0,Active,34.0,31.0,90.0,0.19899999999999998
67,6.0,Physical activity,39.0,Active,34.0,31.0,91.0,0.19899999999999998
68,6.0,Physical activity,39.0,Active,34.0,31.0,92.0,0.19899999999999998
69,6.0,Physical activity,39.0,Active,34.0,31.0,93.0,0.19899999999999998
70,6.0,Physical activity,39.0,Active,34.0,31.0,94.0,0.19899999999999998
71,6.0,Physical activity,39.0,Active,34.0,31.0,95.0,0.19899999999999998
72,6.0,Physical activity,39.0,Active,34.0,31.0,96.0,0.19899999999999998
73,6.0,Physical activity,39.0,Active,34.0,31.0,97.0,0.19899999999999998
74,6.0,Physical activity,39.0,Active,34.0,31.0,98.0,0.19899999999999998
75,6.0,Physical activity,39.0,Active,34.0,31.0,99.0,0.19899999999999998
76,6.0,Physical activity,39.0,Active,34.0,31.0,100.0,0.19899999999999998
77,6.0,Physical activity,39.0,Active,34.0,31.0,101.0,0.19899999999999998
78,6.0,Physical activity,39.0,Active,34.0,31.0,102.0,0.19899999999999998
79,6.0,Physical activity,39.0,Active,34.0,31.0,103.0,0.19899999999999998
80,6.0,Physical activity,39.0,Active,34.0,31.0,104.0,0.19899999999999998
81,6.0,Physical activity,39.0,Active,34.0,31.0,105.0,0.19899999999999998
82,6.0,Physical activity,39.0,Active,34.0,31.0,106.0,0.19899999999999998
83,6.0,Physical activity,39.0,Active,34.0,31.0,107.0,0.19899999999999998
84,6.0,Physical activity,39.0,Active,34.0,31.0,108.0,0.19899999999999998
85,6.0,Physical activity,39.0,Active,34.0,31.0,109.0,0.19899999999999998
86,6.0,Physical activity,39.0,Active,34.0,29.0,18.0,0.6579999999999999
87,6.0,Physical activity,39.0,Active,34.0,29.0,19.0,0.6579999999999999
88,6.0,Physical activity,39.0,Active,34.0,29.0,20.0,0.6579999999999999
89,6.0,Physical activity,39.0,Active,34.0,29.0,21.0,0.6579999999999999
90,6.0,Physical activity,39.0,Active,34.0,29.0,22.0,0.6579999999999999
91,6.0,Physical activity,39.0,Active,34.0,29.0,23.0,0.6579999999999999
92,6.0,Physical activity,39.0,Active,34.0,29.0,25.0,0.5870000000000001
93,6.0,Physical activity,39.0,Active,34.0,29.0,26.0,0.5870000000000001
94,6.0,Physical activity,39.0,Active,34.0,29.0,27.0,0.5870000000000001
95,6.0,Physical activity,39.0,Active,34.0,29.0,28.0,0.5870000000000001
96,6.0,Physical activity,39.0,Active,34.0,29.0,29.0,0.5870000000000001
97,6.0,Physical activity,39.0,Active,34.0,29.0,30.0,0.5870000000000001
98,6.0,Physical activity,39.0,Active,34.0,29.0,31.0,0.5870000000000001
99,6.0,Physical activity,39.0,Active,34.0,29.0,32.0,0.5870000000000001
