Model_id,Model_name,To_state_id,To_state_name,Sex_state_id,Race_state_id,Age_low,Age_high,Probability
6,Physical activity,39,Active,34,31,18,24,0.46
6,Physical activity,39,Active,34,31,25,44,0.403
6,Physical activity,39,Active,34,31,45,54,0.332
6,Physical activity,39,Active,34,31,55,64,0.308
6,Physical activity,39,Active,34,31,65,74,0.274
6,Physical activity,39,Active,34,31,75,84,0.199
6,Physical activity,39,Active,34,31,85,110,0.199
6,Physical activity,39,Active,34,29,18,24,0.658
6,Physical activity,39,Active,34,29,25,44,0.587
6,Physical activity,39,Active,34,29,45,54,0.521
6,Physical activity,39,Active,34,29,55,64,0.478
6,Physical activity,39,Active,34,29,65,74,0.437
6,Physical activity,39,Active,34,29,75,84,0.372
6,Physical activity,39,Active,34,29,85,110,0.212
6,Physical activity,39,Active,34,30,18,24,0.608
6,Physical activity,39,Active,34,30,25,44,0.515
6,Physical activity,39,Active,34,30,45,54,0.425
6,Physical activity,39,Active,34,30,55,64,0.373
6,Physical activity,39,Active,34,30,65,74,0.291
6,Physical activity,39,Active,34,30,75,84,0.194
6,Physical activity,39,Active,34,30,85,110,0.194
6,Physical activity,39,Active,35,31,18,24,0.363
6,Physical activity,39,Active,35,31,25,44,0.372
6,Physical activity,39,Active,35,31,45,54,0.327
6,Physical activity,39,Active,35,31,55,64,0.283
6,Physical activity,39,Active,35,31,65,74,0.232
6,Physical activity,39,Active,35,31,75,84,0.147
6,Physical activity,39,Active,35,31,85,110,0.147
6,Physical activity,39,Active,35,29,18,24,0.545
6,Physical activity,39,Active,35,29,25,44,0.532
6,Physical activity,39,Active,35,29,45,54,0.477
6,Physical activity,39,Active,35,29,55,64,0.414
6,Physical activity,39,Active,35,29,65,74,0.359
6,Physical activity,39,Active,35,29,75,84,0.241
6,Physical activity,39,Active,35,29,85,110,0.112
6,Physical activity,39,Active,35,30,18,24,0.352
6,Physical activity,39,Active,35,30,25,44,0.38
6,Physical activity,39,Active,35,30,45,54,0.284
6,Physical activity,39,Active,35,30,55,64,0.247
6,Physical activity,39,Active,35,30,65,74,0.203
6,Physical activity,39,Active,35,30,75,84,0.12
6,Physical activity,39,Active,35,30,85,110,0.12
6,Physical activity,40,Inactive,34,31,18,24,0.54
6,Physical activity,40,Inactive,34,31,25,44,0.597
6,Physical activity,40,Inactive,34,31,45,54,0.668
6,Physical activity,40,Inactive,34,31,55,64,0.692
6,Physical activity,40,Inactive,34,31,65,74,0.726
6,Physical activity,40,Inactive,34,31,75,84,0.801
